"simulationID","time","B._vulgatus","B._uniformis","B._fragilis_spp","B._thetaiotaomicron","B._hansenii","C._ramosum","L._gasseri","E._rectale","B._crossotus","H._parainfluenzae","P._copri","P._melaninogenica","B._adolescentis","E._lenta","F._nucleatum_subsp._nucleatum","C._bolteae","B._longum_subsp._longum","F._nucleatum_subsp._animalis","C._perfringens_S107","D._piger","C._saccharolyticum","S._salivarius","A._odontolyticus","E._siraeum","L._paracasei","B._animalis_subsp._lactis_spp","R._gnavus","C._comes","E._coli_spp","C._difficile","L._lactis","L._plantarum","S._typhimurium_spp","V._cholerae_spp","Count_survivors","Fraction_survivors_correctly_predicted"
1,432,7.72836142881957e-06,1.04114664253051e-12,6.0829541341286e-16,1.25674409581906e-15,0.0335717794460428,7.32603395323193e-17,8.8610661726143e-18,2.11620717413526e-15,1.44783558170456e-16,3.45796842539924e-16,1.55684189217195e-14,5.54169907685376e-17,3.67814523812673e-10,1.75108845416672e-18,9.21842992753348e-17,1.26404701422457e-16,7.45142445372029e-18,1.054733140521e-16,0.61016173405991,0,1.93391158508796e-17,0.355628571143619,9.85633064663666e-18,4.45790233981813e-17,2.46329440123385e-18,4.80572264665071e-17,6.13066510095553e-18,2.02874885505529e-15,0.000520113945418064,2.83686324906905e-11,4.11918123216875e-16,2.06381482081234e-17,0.000110072641122053,5.21226450085032e-12,0,0
2,432,2.05882060532709e-08,2.7521928072558e-12,5.03866360944941e-15,6.88462758813575e-15,0.0193309473456668,5.40034630162236e-16,7.91508735240288e-17,8.93576429439738e-16,1.10695376533684e-15,1.53182054336888e-15,1.39961125116278e-14,4.20631183644831e-16,5.38793108218359e-13,3.0749007176458e-17,6.48156107266512e-16,1.02757160605667e-15,3.82063636893795e-17,8.05059437589928e-16,0.546720291758606,0,1.39307884128853e-16,0.338309937744232,2.6470170937981e-17,3.1643778275338e-16,7.07049054870329e-17,4.12209883513002e-15,1.85010277381813e-16,1.59996709200017e-15,0.00177225394398026,0.0938665485744272,4.15906518647419e-17,1.48951694260604e-18,4.03320784649432e-11,1.21963131613396e-12,0,0
3,432,1.51907000983716e-08,8.24746840243878e-13,6.69921439144146e-16,1.82055039561481e-15,0.0706525555777166,9.57242316574455e-17,7.74323758381251e-18,1.58663025263488e-15,1.58909035890626e-16,3.42462839138805e-16,1.49677873942713e-14,5.64648590055076e-17,1.48060946436473e-10,1.89947185436834e-18,4.60773116353625e-17,1.46794704827183e-16,8.69670675413441e-18,1.05644962155249e-16,0.606400274727213,0,1.90820132471649e-17,0.322821925102707,8.0736344410944e-18,4.58992262507618e-17,8.47835092522225e-18,3.56819556550426e-16,4.26720631881373e-17,3.72933882580739e-14,1.7406977175185e-06,0.000123480997668293,1.50038016658504e-16,2.57405567609906e-18,2.04621821287675e-10,7.3527119642407e-09,0,0
4,432,3.31537392926496e-06,1.2212933628936e-12,9.63019519772243e-16,2.18205380888216e-15,0.00664919292161564,1.51057987228004e-16,8.90336989474014e-18,3.25885252647711e-15,2.55427153781378e-16,5.70656801315689e-16,1.67737827121885e-14,8.83204341404594e-17,7.09192000610375e-11,8.59640097141525e-18,1.54571159098279e-16,2.08317877768458e-16,1.28639583349304e-17,1.63673405691775e-16,0.655243875709459,0,3.14209927811277e-17,0.338103527211191,7.23338866400057e-18,8.8910364976209e-17,1.0067312898152e-17,5.08944535346931e-17,3.37677142288035e-18,4.06252667581049e-14,1.50561087679924e-14,2.28572017735798e-16,1.72319065495142e-11,2.92842232988838e-18,8.86228719417214e-08,7.14800281840555e-11,0,0
5,432,1.34452681166596e-09,3.15167456854278e-13,3.86544341726873e-16,1.29442944410351e-15,0.0627132502054552,5.77912367072407e-17,5.29730171717611e-18,7.37804629972639e-16,1.10656565267264e-16,1.49632784507193e-16,8.91842220928311e-15,4.05106823235374e-17,1.0654842916216e-13,1.16059589223917e-18,5.98618223858515e-17,1.04330593055406e-16,4.00697035756596e-18,7.10384703694195e-17,0.421326615099685,0,1.35826003841538e-17,0.266582000603575,6.50061318165201e-18,3.04209398707224e-17,1.63307612377004e-19,6.4607113129874e-16,9.67560866267008e-18,1.46091104886321e-16,0.141207192717584,0.108167354221858,7.63176295316858e-18,3.73305026820793e-18,3.58122922002079e-06,4.5776611198454e-09,0,0
6,432,3.38096473378746e-06,2.79872176386946e-13,3.87800463301365e-16,1.13881022615999e-15,0.00540907397559735,5.27895121519249e-17,6.41939749029215e-18,1.78047651256758e-15,8.42785426101093e-17,2.33955411399558e-16,1.73607094900781e-15,3.43911783742385e-17,1.42020783032486e-13,9.7616090442606e-19,5.91429143672886e-17,9.96692038812973e-17,4.57385469091026e-18,6.51566050826562e-17,2.49593175923836e-07,0,1.20998525012355e-17,0.50780994039389,9.24246941498343e-18,3.03183267145222e-17,4.65958715438958e-18,1.85635003962322e-15,1.35492924699552e-17,1.32573040346373e-14,1.94901567885036e-07,0.486776388047589,2.81319068354109e-11,3.47207613081599e-18,7.71359844934365e-07,7.35026840364013e-10,0,0
7,432,1.78851692675729e-06,4.36921068496762e-12,7.57195346922266e-16,1.00825084160521e-15,0.0246138615431166,6.96246688760666e-17,7.41473375637119e-18,2.63776637299025e-15,1.73034812188959e-16,4.33813329740545e-16,7.96161775242758e-16,6.59588654024154e-17,0.0976865390746509,1.69917607639166e-17,8.3409397894007e-17,1.49395637269735e-16,8.67462415559833e-18,1.14716716486588e-16,1.14822595893312e-11,0,2.07576904925051e-17,0.306819592612366,5.07990603370853e-18,5.33390270305885e-17,6.72632770633752e-18,1.49320062980211e-15,5.11782546902997e-18,5.03504930020361e-14,0.402492262236913,0.16838595598724,1.11781467754238e-14,3.67050010377713e-19,6.41454419143445e-14,1.28009181329807e-11,0,0
8,432,4.54436115391193e-07,5.42890674208932e-13,9.98733238563816e-16,2.80554895820487e-15,0.126065529480816,1.27254606190507e-16,1.10778825999053e-17,3.24664015936542e-15,2.02376608218147e-16,5.12718150814974e-16,9.54756423955231e-15,7.74742231722025e-17,1.90936341186208e-14,3.61666587926376e-18,1.9061456585477e-16,2.35311603923623e-16,1.2587888282479e-17,1.28753191077258e-16,0.00305782188575173,0,2.80229484397217e-17,0.85563448693208,8.6995304023313e-18,6.16565118883752e-17,2.03443811239033e-18,3.66528208575373e-16,2.82968021362263e-17,3.47023890553574e-15,0.0152407549918523,6.35798561946238e-07,7.40826202252753e-17,7.5777509754508e-18,3.16473349179611e-07,8.89188819618735e-13,0,0
9,432,3.53334273285751e-11,2.1260691464023e-12,4.03977835102398e-16,1.39522531541075e-15,0.0418481734538993,6.94099372390202e-17,7.06263000719328e-18,5.81454811864901e-16,1.17040335412304e-16,1.91471035741182e-16,9.43468472919443e-15,4.54790230145387e-17,2.0630586405163e-06,3.38771110060064e-18,7.08317135932611e-17,1.13901117247269e-16,3.43114020537092e-18,9.59198335291897e-17,0.368544842317002,0,1.58924071866468e-17,0.379666388742289,1.04402649524728e-18,3.08196077434492e-17,7.47328177802518e-18,1.21175023682691e-15,6.87916873689617e-18,2.69043653821008e-15,1.02354955344489e-06,0.209937508830251,1.74016743434015e-13,3.6274293192969e-19,1.03724869265043e-11,3.42489916649545e-13,0,0
10,432,2.60628570812796e-10,2.66450684612145e-13,2.94222950533129e-16,9.44949675378604e-16,0.00962550045995858,3.419197412643e-17,3.70506467892964e-18,3.925841976387e-16,6.83537901947764e-17,9.42832380350755e-17,1.49791506680601e-14,2.39211686444941e-17,0.00558352631699603,1.87685659384604e-18,5.47976502464232e-17,6.61583022087884e-17,4.61443980160274e-18,4.79619368253229e-17,0.585593553343745,0,9.19078734918419e-18,0.20338043127599,1.59244486823801e-18,1.96766696716221e-17,1.40571983349631e-18,1.7184500950186e-15,2.47073298374811e-17,9.9327780205752e-17,0.0194358044310052,0.176381013695629,1.70163608089768e-07,1.3474192315242e-20,7.39520859016451e-12,4.47583430708449e-11,0,0
